reference,Category,NCSP Category (Search output),Parameter  (Search output),First,Second,Sub-category,reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,Food Search Output (Code),Food Search Output (Description),Number of alerts,COMMENT ON FOOD CLASSIFICATION,COMMENT ON PARAMETER CLASSIFICATION,Amended FoodEx2 Code,Amended FoodEx2 Description
2024.3516,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3516,fruits and vegetables,food,Exceedance of ML for Cadmium in Avocado from Peru via the Netherlands,14-05-2024 17:08:43,Belgium,information notification for attention,not serious,Belgium,Peru,Netherlands,Netherlands,Peru,cadmium,A01LB,Avocados,1,,,,
2024.3473,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3473,fish and fish products,food,Cadmium in tuna from Equador,30-04-2024 16:43:59,France,information notification for attention,potentially serious,France,"Ecuador,INFOSAN",,Ecuador,Ecuador,cadmium,A02DX,Tuna,1,,,,
2024.331,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.331,fruits and vegetables,food,cadmium in frozen yellow pepper strips,24-04-2024 17:33:49,Belgium,information notification for attention,serious,Belgium,"INFOSAN,Türkiye",,"Belgium,Türkiye",Türkiye,cadmium,A00JA,Sweet peppers,1,,,,
2024.3207,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3207,fruits and vegetables,food,Cadmium in avocado from Peru,22-04-2024 14:35:47,Netherlands,information notification for attention,serious,Netherlands,INFOSAN,,"Netherlands,Peru",Peru,cadmium,A01LB,Avocados,1,,,,
2024.3122,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3122,"nuts, nut products and seeds",food,Depasire LMA cadmiu in seminte floarea soarelui origine Romania /// Cadmium in sunflowers seeds from Romania,18-04-2024 11:18:45,Romania,information notification for attention,serious,,"Austria,Bulgaria",,Romania,Romania,cadmium,A015L,Sunflower seeds,1,,,,
2024.3082,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3082,"cocoa and cocoa preparations, coffee and tea",food,cadmium in cacao powder from Peru,17-04-2024 12:37:23,Switzerland,information notification for attention,serious,Switzerland,"INFOSAN,Peru",,"Peru,Switzerland",Peru,cadmium,A03HG,Cocoa powder,1,,,,
2024.2898,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.2898,fruits and vegetables,food,Cadmium in avocado,11-04-2024 14:09:16,Netherlands,alert notification,serious,"Germany,Netherlands",INFOSAN,Germany,"Netherlands,Peru",,cadmium,A01LB,Avocados,1,,,,
2024.1971,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1971,cephalopods and products thereof,food,Cadmium in Mini Octopus from Germany,22-03-2024 14:01:41,Austria,alert notification,serious,"Austria,Finland,Germany,Namibia,Poland,Sweden","Austria,Germany,INFOSAN","Finland,Germany,India,Namibia,Poland,Sweden","Germany,India",India,cadmium,A02JD,Octopuses,1,,,,
2024.1889,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1889,cephalopods and products thereof,food,polpi dall'India/Cadmium in frozen Octopus (Octopus membranaceus) from India,13-03-2024 15:13:29,Italy,border rejection notification,serious,,,,"India,Italy",India,cadmium,A02JD,Octopuses,1,,,,
2024.1624,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1624,cephalopods and products thereof,food,Cadmium in frozen octopus from India,07-03-2024 09:12:13,France,information notification for attention,serious,France,"INFOSAN,India",,"France,India",India,cadmium,A02JD,Octopuses,1,,,,
2024.1485,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1485,fruits and vegetables,food,"Cadmium in avocado from the Dominican Republic, via the Netherlands",01-03-2024 12:03:41,Germany,information notification for attention,serious,Germany,INFOSAN,,"Dominican Republic,Germany,Netherlands",Dominican Republic,cadmium,A01LB,Avocados,1,,,,
2024.1424,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1424,cephalopods and products thereof,food,presenza di cadmio >1 mg/kg in seppie congelate presence of cadmium >1 mg/kg in frozen cuttlefish,28-02-2024 15:13:30,Italy,information notification for attention,serious,,,,"Albania,Italy",Albania,cadmium,A026V,Fish (meat),1,,,,
2024.1213,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1213,fruits and vegetables,food,Cadmium in Rambutan,21-02-2024 16:44:28,Netherlands,information notification for attention,potentially serious,Netherlands,INFOSAN,,"Netherlands,Vietnam",Vietnam,cadmium,A01KA,Rambutans,1,,,,
2024.1164,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.1164,cephalopods and products thereof,food,cadmium over the limit in frozen squid,20-02-2024 14:31:14,Italy,alert notification,serious,"Italy,Spain","Italy,Spain",Spain,"Italy,Spain","Italy,Spain",cadmium,A02JH,Squids,1,,,,
2024.0965,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.0965,fruits and vegetables,food,Presencia de Cadmio por encima del límite establecido en espárragos de Perú -- Cadmium in asparagus from Peru.,09-02-2024 16:46:39,Spain,information notification for attention,serious,France,"France,INFOSAN",Spain,"Peru,Spain",Peru,cadmium,A00RT,Asparagus,1,,,,
2024.0818,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.0818,bivalve molluscs and products thereof,food,Border rejection - cadmium in mussels from Chile,06-02-2024 14:19:35,Denmark,border rejection notification,serious,Denmark,,,"Chile,Denmark",Chile,cadmium,A02HF,Mussels,1,,,,
2024.0796,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.0796,fruits and vegetables,food,Cadmium in mangistan,05-02-2024 16:48:26,Netherlands,information notification for attention,serious,Netherlands,"INFOSAN,Indonesia,Netherlands",,"Indonesia,Netherlands",Indonesia,cadmium,A01JX,Mangosteens,1,,,,
2024.066,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.066,fruits and vegetables,food,Cadmium in rawit pepper from Morocco,30-01-2024 14:38:56,Netherlands,alert notification,serious,"Belgium,Curaçao,Germany,Luxembourg,Netherlands,Norway,Poland,Saint Martin,Saudi Arabia,Switzerland","Belgium,Germany,INFOSAN,Morocco,Netherlands,Norway,Poland,Spain","Luxembourg,Morocco,Netherlands,Switzerland","Belgium,Morocco,Netherlands,Spain",Morocco,cadmium,A00JB,Chili peppers,1,,,,
2024.0504,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.0504,other food product / mixed,food,Cadmium in beetroot leaves,23-01-2024 15:27:57,France,information notification for attention,serious,"France,Italy",Italy,,"France,Italy",Italy,cadmium,A0DJS,Beetroot leaves,1,,,,
2023.8797,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.8797,"cocoa and cocoa preparations, coffee and tea",food,Nivel elevado de cadmio en cacao en polvo ecológico procedente de Países Bajos // High level of cadmium in organic cocoa powder from the Netherlands,20-12-2023 14:17:05,Spain,alert notification,serious,"Belgium,Bulgaria,China,Cyprus,Czech Republic,Denmark,Estonia,France,Germany,Greece,Italy,Japan,Jordan,Kosovo,Poland,Republic of North Macedonia,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom","Bulgaria,China,Croatia,Cyprus,Czech Republic,Denmark,Estonia,France,Germany,Greece,INFOSAN,Italy,Japan,Jordan,Kosovo,Netherlands,Norway,Poland,Republic of North Macedonia,Romania,Slovenia,Spain,Sweden,Switzerland,United Kingdom","Netherlands,Poland,Switzerland","Bulgaria,Czech Republic,Italy,Netherlands,Poland,Spain",Netherlands,cadmium,A03HG,Cocoa powder,1,,,,
2023.8522,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.8522,fruits and vegetables,food,"Ethephon and cadmium in frozen red and yellow bell peppers, manufactured in Poland, via Denmark",11-12-2023 17:19:56,Belgium,alert notification,serious,Belgium,"Denmark,Poland","Denmark,Poland","Belgium,Denmark,Poland",Poland,"cadmium  ,ethephon",A00JA,Sweet peppers,1,,,,
2023.8381,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.8381,meat and meat products (other than poultry),food,Cadmium and lead in sheep liver,06-12-2023 09:37:34,France,information notification for attention,potential risk,"Belgium,Germany","Germany,INFOSAN",,"Belgium,United Kingdom",United Kingdom,"cadmium  ,lead",A01XK,Sheep liver,1,,,,
2023.7938,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.7938,herbs and spices,food,Cadmium in dried spring onion from Germany,16-11-2023 16:28:04,Netherlands,alert notification,serious,Netherlands,,"Germany,Netherlands","Germany,Netherlands",Germany,cadmium,A00HH,Spring onions,1,,,,
2023.79,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.79,fruits and vegetables,food,Presença do contaminante CADMIO em maracujá proveniente de Angola,15-11-2023 18:10:16,Portugal,border rejection notification,serious,,Angola,,"Angola,Portugal",Angola,cadmium  migration,A01KC,Passionfruits,1,,,,
2023.7831,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.7831,"cocoa and cocoa preparations, coffee and tea",food,Detección de cadmio y de benzo(a)pireno por encima de los límites normativos en cacao en polvo procedente de Italia // Detection of cadmium and benzo(a)pyrene above regulatory limits in cocoa powder from Italy,13-11-2023 15:59:05,Spain,alert notification,serious,"Albania,Spain,United Kingdom","Albania,INFOSAN,Italy,Spain,Sweden,United Kingdom","Italy,Spain,Sweden","Italy,Spain",Italy,"benzo(a)pyrene  ,cadmium",A03HG,Cocoa powder,1,,,,
2023.7777,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.7777,fruits and vegetables,food,Cadmium in frozen red chili peppers from India,10-11-2023 15:42:07,Belgium,information notification for attention,potentially serious,Belgium,INFOSAN,,"Belgium,India",India,cadmium,A00JB,Chili peppers,1,,,,
2023.7693,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.7693,cereals and bakery products,food,High cadmium level in rice from Italy,08-11-2023 16:30:52,Hungary,alert notification,serious,Hungary,,Italy,"Hungary,Italy","Hungary,Italy",cadmium,A001D,Rice grain,1,,,,
2023.7055,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.7055,fruits and vegetables,food,Cadmium in spring onion from Germany,17-10-2023 12:03:53,Netherlands,alert notification,serious,"Belgium,Cyprus,Ireland,Lithuania,Netherlands,United Kingdom","Netherlands,United Kingdom","Belgium,Cyprus,Germany,INFOSAN,Ireland,Lithuania,Netherlands,United Kingdom","Germany,Netherlands","Germany,Netherlands",cadmium,A00HH,Spring onions,1,,,,
2023.6981,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.6981,fruits and vegetables,food,"Cadmium in frozen red pepper dices, manufactured in Poland",13-10-2023 14:21:59,Belgium,alert notification,serious,"Belgium,Germany",Belgium,"Germany,Poland","Belgium,Germany,Poland",Poland,cadmium,A00JA,Sweet peppers,1,,,,
2023.682,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.682,cereals and bakery products,food,presence of cadmium beyond legal limits in n Carnaroli rice from Italy,06-10-2023 18:46:23,Italy,alert notification,serious,"Italy,Malta",Malta,,Italy,Italy,cadmium,A001D,Rice grain,1,,,,
2023.6464,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.6464,cephalopods and products thereof,food,Cadmium in baby octopus from Italy,25-09-2023 09:03:58,Germany,alert notification,serious,,"Germany,INFOSAN,India,Italy","Germany,India,Italy","Germany,India,Italy",India,cadmium,A02JD,Octopuses,1,,,,
2023.6384,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.6384,bivalve molluscs and products thereof,food,Cadmium exceedance in mussels from Chile,20-09-2023 15:55:37,France,information notification for attention,serious,France,INFOSAN,,"Chile,France",Chile,cadmium,A02HF,Mussels,1,,,,
2023.6184,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.6184,cephalopods and products thereof,food,Cadmium in squid from Italy,12-09-2023 11:52:21,Germany,information notification for follow-up,potentially serious,"Austria,Germany,Italy,Switzerland","Austria,Germany,Italy,Slovenia,Spain,Switzerland","Austria,Germany,Italy,Slovenia,Spain,Switzerland","Austria,Germany,Italy,Slovenia,Spain,Switzerland",Italy,cadmium,A02JH,Squids,1,,,,
2023.6085,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.6085,cereals and bakery products,food,Cadmium in rice from Italy,06-09-2023 16:51:45,Hungary,alert notification,serious,Hungary,"Hungary,Italy",Italy,"Hungary,Italy","Hungary,Italy",cadmium,A001D,Rice grain,1,,,,
2023.6012,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.6012,"cocoa and cocoa preparations, coffee and tea",food,Cadmium in cocoa liquor from Venezuela,04-09-2023 15:52:09,Belgium,information notification for attention,serious,Belgium,INFOSAN,,"Belgium,Venezuela",Venezuela,cadmium,A03NX,Chocolate liqueur,1,,,,
2023.5826,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.5826,"cocoa and cocoa preparations, coffee and tea",food,Cadmio en chocolate para beber de Colombia. Cadmium in drinking chocolate from Colombia,28-08-2023 16:54:52,Spain,information notification for attention,serious,United Kingdom,Colombia,United Kingdom,"Colombia,Spain",Colombia,cadmium,A03HH,"Cocoa beverage-preparation, powder",1,,,,
2023.5587,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.5587,cereals and bakery products,food,"Presence of cadmium in ""dessert"" rice from Italy",17-08-2023 17:42:09,France,alert notification,serious,France,,Italy,Italy,Italy,,A041E,Rice pudding,1,,,,
2023.5585,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.5585,bivalve molluscs and products thereof,food,cadmium in mussels from Chile,17-08-2023 17:07:07,Netherlands,alert notification,serious,"Austria,Belgium,Germany,Netherlands","Belgium,Chile,INFOSAN","Austria,Belgium,Chile,Germany,Netherlands","Belgium,Chile,Netherlands",Chile,cadmium,A02HF,Mussels,1,,,,
2023.558,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.558,fruits and vegetables,food,Exceeding the MRL of cadmium in dried spinach from Poland,17-08-2023 15:43:21,Poland,alert notification,serious,"Greece,Ireland,Lithuania","INFOSAN,Poland,Republic of North Macedonia","Greece,Ireland,Lithuania,Republic of North Macedonia",Poland,Poland,cadmium,A00MJ,Spinaches,1,,,,
2023.537,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.537,fruits and vegetables,food,Cadmium in fresh mangosteen from Vietnam,08-08-2023 16:46:32,Netherlands,information notification for attention,serious,Netherlands,INFOSAN,,"Netherlands,Vietnam",Vietnam,cadmium,A01JX,Mangosteens,1,,,,
2023.4903,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.4903,cereals and bakery products,food,"Cadmium in organic rice from Italy, via Germany",20-07-2023 14:29:40,Germany,alert notification,serious,"Austria,Bahrain,Belgium,Denmark,Estonia,France,Germany,Hungary,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Romania,Saudi Arabia,Slovakia,Slovenia,Spain,Switzerland","Germany,INFOSAN","Austria,Belgium,Czech Republic,Denmark,Estonia,France,Germany,Hungary,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Romania,Slovakia,Slovenia,Spain,Switzerland","Austria,Germany,Italy,Lithuania,Netherlands","Germany,Italy",cadmium,A001D,Rice grain,1,,,,
2023.4892,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.4892,fruits and vegetables,food,Cadmium in Strawberries from Belgium,20-07-2023 12:08:43,Netherlands,information notification for attention,serious,"Belgium,Netherlands",Belgium,,"Belgium,Netherlands",Belgium,cadmium,A01EA,Strawberries,1,,,,
2023.488,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.488,cereals and bakery products,food,Cadmium in Brown rice from Italy,20-07-2023 09:25:56,Netherlands,information notification for attention,serious,Netherlands,"Italy,Netherlands",,"Italy,Netherlands",Italy,cadmium,A001D,Rice grain,1,,,,
2023.4822,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.4822,meat and meat products (other than poultry),food,cadmium - horse quarter from Poland,18-07-2023 11:07:31,Poland,information notification for attention,serious,Italy,,,Poland,Poland,cadmium,A01RM,Equine muscle,1,,,,
2023.4781,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2023.4781,fruits and vegetables,food,Cadmium in celery root from the Czech Republic,14-07-2023 16:17:10,Czech Republic,information notification for attention,potentially serious,Slovakia,Slovakia,,Czech Republic,Czech Republic,cadmium,A00QJ,Celeriacs,1,,,,
2024.463,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.463,meat and meat products (other than poultry),food,lead in Ovis aries from UK,17-06-2024 10:43:36,France,alert notification,serious,Germany,,Germany,United Kingdom,United Kingdom,lead,A01RH,Sheep muscle,1,,,,
2024.4515,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.4515,fruits and vegetables,food,Lead in Kumquats from South Africa,12-06-2024 10:49:52,Netherlands,information notification for attention,serious,"Netherlands,United Kingdom",INFOSAN,,"Netherlands,South Africa,United Kingdom",South Africa,lead,A0DRT,Kumquats,1,,,,
2024.4415,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.4415,non-alcoholic beverages,food,Recall of Unsweetened Soya Drink due to a packaging issue which may lead to spoilage,07-06-2024 12:39:13,Ireland,information notification for follow-up,potential risk,Ireland,Ireland,Italy,"Ireland,Italy",Italy,,A03TJ,Soya drink,1,,,,
2024.4261,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.4261,"cocoa and cocoa preparations, coffee and tea",food,"Przekroczenie NDP ołowiu (0,82±0,16 mg/kg) w herbatce ziołowo-owocowej // Exceeding the MRL for lead (0.82±0.16 mg/kg) in herbal and fruit tea",03-06-2024 12:11:42,Poland,information notification for attention,not serious,Poland,INFOSAN,"Czech Republic,United States","Czech Republic,Poland",Poland,lead  high content,A03LB,Tea beverages,1,,,,
2024.3984,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.3984,herbs and spices,food,contamination in lead and linuron in Livèche,22-05-2024 16:43:01,France,alert notification,serious,"Austria,Belgium,France","Belgium,France","Austria,Belgium,France,Poland","France,Poland",Poland,"lead  high content,linuron",A00XS,Lovage leaves,1,,,,
2024.3766,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.3766,meat and meat products (other than poultry),food,High lead content in deer sausage from Austria,13-05-2024 17:04:15,Czech Republic,information notification for attention,serious,Czech Republic,Austria,,"Austria,Czech Republic",Austria,lead  high content,A024F,Sausages,1,,,,
2024.3108,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.3108,fruits and vegetables,food,"Lead in smilacis glabrae rhizoma (China root), from China",17-04-2024 18:00:57,Netherlands,alert notification,serious,"Netherlands,Sweden","INFOSAN,Netherlands",Sweden,"China,Netherlands",China,lead,A03JX,Other Herbal infusion materials from roots,1,,,,
2024.2558,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.2558,meat and meat products (other than poultry),food,Non-compliant levels of lead in sheep livers,02-04-2024 14:44:51,France,information notification for attention,potentially serious,,"Belgium,INFOSAN,United Kingdom",France,"Belgium,United Kingdom",United Kingdom,lead,A01XK,Sheep liver,1,,,,
2024.2449,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.2449,meat and meat products (other than poultry),food,Non-compliant levels of lead in sheep livers,28-03-2024 10:33:56,France,information notification for attention,not serious,France,"INFOSAN,United Kingdom",,United Kingdom,United Kingdom,lead,A01XK,Sheep liver,1,,,,
2024.2407,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.2407,meat and meat products (other than poultry),food,Non- compliant levels of lead in sheep liver from UK,27-03-2024 11:25:21,France,information notification for attention,potentially serious,Belgium,"Belgium,INFOSAN,United Kingdom",,"Belgium,United Kingdom",United Kingdom,lead,A01XK,Sheep liver,1,,,,
2024.1932,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.1932,meat and meat products (other than poultry),food,Lead in salami from Italy,14-03-2024 15:48:12,Austria,information notification for attention,potentially serious,Austria,,,"Austria,Italy",Italy,lead,A024X,Salami-type sausage,1,,,,
2024.1538,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.1538,meat and meat products (other than poultry),food,lead in ovine liver from United Kingdom,15-03-2024 10:39:25,France,information notification for attention,not serious,France,INFOSAN,,United Kingdom,United Kingdom,lead,A01XK,Sheep liver,1,,,,
2024.1178,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.1178,meat and meat products (other than poultry),food,Lead in deer salami from Italy,20-02-2024 17:36:10,Austria,alert notification,serious,"Austria,Germany",,"Austria,Italy","Austria,Italy",Italy,lead,A024X,Salami-type sausage,1,,,,
2024.0744,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2024.0744,herbs and spices,food,"Lead and mercury in ground cinnamon cassia, from Vietnam",02-02-2024 14:27:10,Netherlands,alert notification,potentially serious,Hungary,"INFOSAN,Netherlands",Hungary,"Netherlands,Vietnam",Vietnam,"lead  ,mercury",A019V,Cinnamon bark,1,,,,
2023.8926,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.8926,meat and meat products (other than poultry),food,Lead in sheep liver,27-12-2023 16:14:35,France,information notification for attention,potentially serious,Netherlands,"INFOSAN,Netherlands,United Kingdom",,"Netherlands,United Kingdom",United Kingdom,lead,A01XK,Sheep liver,1,,,,
2023.8661,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.8661,herbs and spices,food,Excessive lead content in ground cloves from Italy,14-12-2023 16:50:12,Germany,alert notification,serious,"Germany,Italy",,"Germany,Italy","Germany,Italy,Netherlands",Madagascar,lead  high content,A01AL,Cloves buds,1,,,,
2023.8525,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.8525,meat and meat products (other than poultry),food,non-compliant levels of lead in sheep livers,12-12-2023 10:05:07,France,information notification for attention,potentially serious,Germany,"Germany,INFOSAN,United Kingdom",,"Germany,United Kingdom",United Kingdom,lead,A01XK,Sheep liver,1,,,,
2023.8381,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.8381,meat and meat products (other than poultry),food,Cadmium and lead in sheep liver,06-12-2023 09:37:34,France,information notification for attention,potential risk,"Belgium,Germany","Germany,INFOSAN",,"Belgium,United Kingdom",United Kingdom,"cadmium  ,lead",A01XK,Sheep liver,1,,,,
2023.8361,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.8361,meat and meat products (other than poultry),food,High content of lead in wild boar meat /Alto contenido de plomo en carne de jabalí de España,05-12-2023 15:05:55,Italy,information notification for follow-up,potentially serious,,"France,Italy,Spain","Italy,Spain","Italy,Spain",Spain,lead  high content,A01SH,Wild boar fresh meat,1,,,,
2023.8141,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.8141,"dietetic foods, food supplements and fortified foods",food,"Mercury and lead in food supplements, from India",24-11-2023 12:56:15,Netherlands,alert notification,serious,"Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Italy,Lithuania,Netherlands,Poland,Romania,Sweden",INFOSAN,"Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Italy,Lithuania,Poland,Romania,Sweden","India,Netherlands",India,"lead  ,mercury",A03SJ,Food supplements and similar preparations,1,,,,
2023.7698,Contaminants,Lead,Lead,\blead\b|Plomb,,Metals and other elements,2023.7698,meat and meat products (other than poultry),food,High content of lead,08-11-2023 17:35:40,Portugal,alert notification,serious,,Spain,"Italy,Portugal,Spain","Italy,Portugal,Spain",Spain,lead  high content,A01QR,Meat and meat products,1,,,,
